S. No,Project Name,Dataset Link
1,Visualization Tool for Electric Vehicle Charge and Range Analysis,https://drive.google.com/drive/folders/1-l5Ia-TGxJKSUfcp-PtMBAssLCkWlLib?usp=share_link
2,The Tragedy of Flight: A Comprehensive crash analysis,https://drive.google.com/drive/folders/1NuoarekwnDm8abs7dQ2Z0DiNEP_6oH80?usp=share_link
3,Plugging into the Future: An Exploration of Electricity Consumption Patterns,https://drive.google.com/drive/folders/1dSc76BzrnWLCrnui4g6GH2rn3Kcc8fX_?usp=share_link
4,Unearthing the Environmental Impact of Human Activity: A Global CO2 Emission Analysis,https://drive.google.com/drive/folders/1ygAsst1Seu24nd4HU1fkaHPORAyZ7Er_?usp=share_link
5,Tracing the Growth of the Global Community: A Population Forecasting Analysis,https://drive.google.com/drive/folders/1qcGmx6hwXgYa5mIr1SySKxEAVvk-07z8?usp=share_link
6,Measuring the Pulse of Prosperity: An Index of Economic Freedom Analysis,https://drive.google.com/drive/folders/1LWfWn7DvGEJIqJOpA4-iHe5ifwth_a36?usp=share_link
7,Analyzing the Performance & Efficiency of The Radisson Hotels using Data Visualization Techniques,https://drive.google.com/drive/folders/1rGfOWepNoJ5s1jFlTkg1A82OltnjWtEK?usp=share_link
8,Charting the Course of Innovation: A Startup Analysis,https://drive.google.com/drive/folders/1mnYjhHge_eSHNhMrphmAi1rOXlbi9xae?usp=share_link
9,A Comprehensive Analysis of Financial Performance: Insights from a Leading Banks,https://drive.google.com/drive/folders/12nl1L6NAs047QTe7D3VKhKMcXk1zo7G6?usp=share_link
10,Uncovering the Gaming Industry's Hidden Gems: A Comprehensive Analysis of Video Game Sales,https://drive.google.com/drive/folders/1YWiUd7TwtXRolh7YIlimroKAsJruouVs?usp=share_link
